"component","component_label","node","query","term","estimate","se","lower","upper","sign","units","visual_magnitude","scale","n","fraction","n_eff","subject_set_id","gap"
"configuration","Configurational component","group41","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group42","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group43","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group44","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group45","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group46","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group47","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group48","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group49","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group50","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group51","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group52","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","<sink>","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
